"LR No.","Master waybill","Warehouse Name","Description ","Order Id","Service Code","Vendor Code","Total Weight (in KG)","Actual Weight","Box Count ",Length,Breadth,Height,"Payment Mode","COD AMOUNT",Insurance,"e-Way bill","Invoice Amount","Invoice No","Shipper GSTIN","Consignee GSTIN",Company,"Consignee Name",Contact,Address,"Destination Pincode","Destination City","Destination State","Origin Pincode",Date,"Customer Code","Import Status","Error Message"
58940397552,58940397552,32987494,BOX,GEM,PAFEX_AIR_CARGO_TIME_CRITICAL,Bluedart_APEX,43,36,4,10,10,10,PREPAID,,,,0,,,,"MR CARGO SERVICES","HUBLI SPORTS",,,580021,HUBLI,,121003,25/5/2026,32987494,Success,"Inserted Successfully"
990048825,58165983761,DELHI,BOX,0,PAFEX_AIR_CARGO_TIME_CRITICAL,Bluedart_APEX,10,4.7,1,10,10,10,PREPAID,,,,16908,,,,"SUPERFAST WORLDWIDE EXPRESS LLP",Karthick,,,635126,HOSUR,Karnataka,122002,25/5/2026,32987022,Failed,"Order ID can not be blank"
990048824,58165983680,DELHI,BOX,0,PAFEX_AIR_CARGO_TIME_CRITICAL,Bluedart_APEX,10,3.34,1,10,10,10,PREPAID,,,,28600,,,,"SUPERFAST WORLDWIDE EXPRESS LLP","swapnil bharat lonare - sinner",,,422103,SINNAR,,122002,25/5/2026,32987022,Failed,"Order ID can not be blank"
17540795425,17540795425,32987494,BOX,"TAP SPORTS",PAFEX_DOCUMENTS_TIME_CRITICAL,Bluedart_DP,0.5,0.5,1,10,10,10,PREPAID,,,,0,,,,"MR CARGO SERVICES","MR MANPRERET BAGGA",,,148001,SANGRUR,,121003,25/5/2026,32987494,Success,"Inserted Successfully"
987125034,987125034,32987494,BOX,"gem international canada",PAFEX_DOCUMENTS_TIME_CRITICAL,Bluedart_DP,0.5,0.5,1,10,10,10,PREPAID,,,,0,,,,"MR CARGO SERVICES","miss stuti miss stuti",,,121003,FARIDABAD,Haryana,121003,25/5/2026,32987494,Failed,"Pincode not serviceable"
21040155430,21040155430,32987494,BOX,"op yadav",PAFEX_DOCUMENTS_TIME_CRITICAL,Bluedart_DP,2.5,2.5,1,10,10,10,PREPAID,,,,0,,,,"MR CARGO SERVICES","york transport",,,410507,"TALEGAON DABHADE",,121003,25/5/2026,32987494,Success,"Inserted Successfully"
21040164725,21040164725,32987494,BOX,"OP YADAV",PAFEX_DOCUMENTS_TIME_CRITICAL,Bluedart_DP,0.5,0.5,1,10,10,10,PREPAID,,,,0,,,,"MR CARGO SERVICES",RADICO,,,781031,GUWAHATI,Assam,121003,25/5/2026,32987494,Success,"Inserted Successfully"
987155828,53658450086,"HEMOGENOMICS ",BOX,"DEL/26-27/192,310",PAFEX_ROAD_TIME_CRITICAL,Bluedart_Surface,41,30.7,4,10,10,10,PREPAID,,,,176022,,,,"HEMOGENOMICS PRIVATE LIMITED","MR. AMIT SETH",,,400016,MUMBAI,Maharashtra,110044,25/5/2026,32987146,Success,"Inserted Successfully"
51614415355,51614415355,32987494,BOX,GEWIN,PAFEX_ROAD_TIME_CRITICAL,Bluedart_Surface,42,42,2,10,10,10,PREPAID,,,,0,,,,"MR CARGO SERVICES",SIEMENS,,,501510,MANNEGUDA,,400607,25/5/2026,32987494,Success,"Inserted Successfully"
51948438824,51948438824,32987494,BOX,MRC,PAFEX_ROAD_TIME_CRITICAL,Bluedart_Surface,44,10,1,10,10,10,PREPAID,,,,0,,,,"MR CARGO SERVICES","QUICK FURNISH",,,700071,KOLKATA,"West Bengal",380060,25/5/2026,32987494,Success,"Inserted Successfully"
17540796093,17540796093,32987494,BOX,QTECH,PAFEX_DOCUMENTS_TIME_CRITICAL,Bluedart_DP,2.5,1,1,10,10,10,PREPAID,,,,0,,,,"MR CARGO SERVICES",RELIANCE,,,518010,KURNOOL,"Andhra Pradesh",121003,25/5/2026,32987494,Success,"Inserted Successfully"
990048823,58165983595,DELHI,BOX,DC17230,PAFEX_AIR_CARGO_TIME_CRITICAL,Bluedart_APEX,10,2.54,1,10,10,10,PREPAID,,,,43000,,,,"SUPERFAST WORLDWIDE EXPRESS LLP","KANAK KHANDELWAL",,,452016,INDORE,"Madhya Pradesh",122002,25/5/2026,32987022,Success,"Inserted Successfully"
990048822,58165983551,DELHI,BOX,DC17227,PAFEX_AIR_CARGO_TIME_CRITICAL,Bluedart_APEX,10,2.58,1,10,10,10,PREPAID,,,,43000,,,,"SUPERFAST WORLDWIDE EXPRESS LLP","AMAR MANGALPALLI",,,413006,SOLAPUR,Maharashtra,122002,25/5/2026,32987022,Success,"Inserted Successfully"
990048821,58165983540,DELHI,BOX,DC17224,PAFEX_AIR_CARGO_TIME_CRITICAL,Bluedart_APEX,10,4.2,1,10,10,10,PREPAID,,,,43000,,,,"SUPERFAST WORLDWIDE EXPRESS LLP","JITHIN PRASAD",,,560035,BANGALORE,Karnataka,122002,25/5/2026,32987022,Success,"Inserted Successfully"
990048820,58165983503,DELHI,BOX,DC17222,PAFEX_AIR_CARGO_TIME_CRITICAL,Bluedart_APEX,10,4.2,1,10,10,10,PREPAID,,,,43000,,,,"SUPERFAST WORLDWIDE EXPRESS LLP","SIDDANT GHOSH",,,560034,BANGALORE,Karnataka,122002,25/5/2026,32987022,Success,"Inserted Successfully"
990048819,58165983271,DELHI,BOX,DC17219,PAFEX_AIR_CARGO_TIME_CRITICAL,Bluedart_APEX,10,4.12,1,10,10,10,PREPAID,,,,43000,,,,"SUPERFAST WORLDWIDE EXPRESS LLP","ARNAB DEBNATH",,,560095,BANGALORE,Karnataka,122002,25/5/2026,32987022,Success,"Inserted Successfully"
990048818,21040214300,32970153,BOX,1.02E+11,PAFEX_DOCUMENTS_TIME_CRITICAL,Bluedart_DP,3,3,1,10,10,10,PREPAID,,,,1,,,,"SSBC Global Logistics Private Limited","Suman Majumdar",,,380058,AHMEDABAD,Gujarat,411013,25/5/2026,32987397,Success,"Inserted Successfully"
990048817,21040213283,32970153,BOX,1.02E+11,PAFEX_DOCUMENTS_TIME_CRITICAL,Bluedart_DP,0.5,0.5,1,10,10,10,PREPAID,,,,1,,,,"SSBC Global Logistics Private Limited","Vijayan Amarnath",,,600097,CHENNAI,"Tamil Nadu",411013,25/5/2026,32987397,Success,"Inserted Successfully"
990048816,58165981904,32970074,BOX,0,PAFEX_AIR_CARGO_TIME_CRITICAL,Bluedart_APEX,109,80,8,10,10,10,PREPAID,,,,332393,,,,"Universal World Wide Express","JAYANTA CHANGMAI",,,781001,GUWAHATI,Assam,400078,25/5/2026,32987497,Failed,"Order ID can not be blank"
